Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Centro,Distrito 6,A828,GALERIAS URUAPAN, Blvd. Industrial,El Colorin Norte,Uruapan,Michoacán de Ocampo,Uruapan,60120,-6.7,6.4,-12.3,Enero,19.4147269,-102.0522647
Devlyn,Noroeste,Distrito 5,B914,DELYN ZENTRALIA (COLIMA),3ER ANILLO PERIFERICO NORTE,Bugambilias,Colima,Colima,Colima,28017,-27.7,-29.6,2.6,Enero,19.2433991,-103.7280738
Devlyn,Sur,Distrito 4,A836,DEVLYN CHEDRAUI (TAPACHULA),4TA AV SUR PROLONG C LAS PALOMAS,Cantarranas,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,Chiapas,Tapachula de Córdova y Ordóñez,30797,29.6,4.7,23.8,Enero,14.9042905,-92.2609265
Devlyn,Centro,Distrito 6,B008,LEON CENTRO II,05 DE MAYO,Centro,León,Guanajuato,León de los Aldama,37000,-24.1,-29.8,8.2,Enero,21.121965,-101.6829766
Coppel,Centro,Distrito 5,A551,COPPEL CELAYA,12 DE OCTUBRE,Los Sauces,Celaya,Guanajuato,Celaya,38027,67.1,34.5,24.3,Enero,20.533795125699353,-100.83526851726776
Sears,Noroeste,Distrito 3,B319,SEARS CENTRO (LA PAZ),16 DE SEPTIEMBRE,Zona Central,La Paz,Baja California Sur,La Paz,23000,74.1,59.6,9.1,Enero,24.1619948,-110.3158532
Devlyn,Centro,Distrito 6,A823,LA PIEDAD CENTRO,25 DE JULIO,Centro,La Piedad,Michoacán de Ocampo,La Piedad de Cabadas,59300,37.4,17.0,17.5,Enero,20.3429949,-102.031124
Coppel,Sur,Distrito 3,A609,COPPEL CARDENAS CENTRO (TABASCO),ABRAHAM BANDALA,Cárdenas Centro,Cárdenas,Tabasco,Cárdenas,86500,-29.7,-3.8,-26.9,Enero,18.169369500000002,-93.70522924168885
Devlyn,Noreste,Distrito 2,A947,ADUANA I CENTRO (TAMPICO),ADUANA,Tampico Centro,Tampico,Tamaulipas,Tampico,89000,4.0,-12.3,18.5,Enero,22.27010965,-97.89486735598555
Devlyn,Noreste,Distrito 5,A957,SALTILLO CENTRO,ALLENDE,Saltillo Centro,Saltillo,Coahuila de Zaragoza,Saltillo,25000,-22.7,-8.6,-15.5,Enero,25.4230425,-100.9927509
Devlyn,Sur,Distrito 6,A988,MEGA SORIANA (XALAPA),AUTOP ADOLFO RUIZA CORTINEZ,Progreso Macuiltepetl,Xalapa,Veracruz de Ignacio de la Llave,Xalapa-Enríquez,91130,-29.6,3.4,-31.9,Enero,19.5408338,-96.9146374
Devlyn,Metropolitana,Distrito 4,A762,GALERIAS CUERNAVACA,AUTOP MEXICO CUERNAVACA KM 87.850,Ricardo Flores Magón,Cuernavaca,Morelos,Cuernavaca,62370,7.3,1.1,6.2,Enero,18.93313205,-99.25995794657074
Devlyn,Metropolitana,Distrito 4,B630,AVERANDA,AUTOP MEXICO- ACAPULCO KM 73+573,Ricardo Flores Magón,Cuernavaca,Morelos,Cuernavaca,62370,-24.7,-22.3,-3.1,Enero,18.93313205,-99.25995794657074
Sears,Metropolitana,Distrito 4,B857,SEARS AVERANDA,AUTOP MEXICO- ACAPULCOKM 8750,Flores Magón 2a Fracción,Cuernavaca,Morelos,Cuernavaca,62373,6.5,-8.1,15.9,Enero,18.93313205,-99.25995794657074
Devlyn,Centro,Distrito 4,B872,EXPLANADA PACHUCA,AUTOP MEXICO-PACHUCA,Privada Santa Prisca,Pachuca de Soto,Hidalgo,Pachuca de Soto,42083,6.3,29.0,-17.6,Enero,20.10451,-98.78892237167076
Devlyn,Centro,Distrito 2,A902,LUNA PARC,AV 1 DE MAYO,Elite Plaza,Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli,54700,22.7,8.0,13.5,Enero,19.6531356,-99.2145002
Sears,Centro,Distrito 2,B750,SEARS CUAUTITLAN 1o MAYO,AV 1 DE MAYO,Elite Plaza,Cuautitlán Izcalli,Estado de México,Cuautitlán Izcalli,54700,-7.4,-18.5,13.6,Enero,19.6531356,-99.2145002
Devlyn,Sur,Distrito 4,B613,COMITAN CENTRO,AV 4 A NORTE PONIENTE,Candelaria,Comitán de Domínguez,Chiapas,Comitán de Domínguez,30060,-57.4,-43.4,-24.7,Enero,16.2441097,-92.1348514
Devlyn,Metropolitana,Distrito 1,B019,DEVLYN CHEDRAUI NEZA,AV 4TA AVENIDA,Rey Nezahualcóyotl,Nezahualcóyotl,Estado de México,Ciudad Nezahualcóyotl,57809,26.0,15.2,9.4,Enero,19.4079028,-99.0181547
Devlyn,Sur,Distrito 4,A894,PLAZA DEL SOL TUXTLA,AV 5 A NORTE PONIENTE,Santo Domingo,Tuxtla Gutiérrez,Chiapas,Tuxtla Gutiérrez,29000,75.5,61.3,8.8,Enero,16.753801,-93.115959
