Formato,Zona,Distrito,Suc SAP,Sucursal,Calle,Colonia,Municipio,Estado,Ciudad,CP,var_ventas,var_ov,var_ticket,month,latitud,longitud
Devlyn,Centro,Distrito 6,A828,GALERIAS URUAPAN, Blvd. Industrial,El Colorin Norte,Uruapan,Michoacán de Ocampo,Uruapan,60120,28.4,22.5,4.9,Febrero,19.4147269,-102.0522647
Devlyn,Noroeste,Distrito 5,B914,DELYN ZENTRALIA (COLIMA),3ER ANILLO PERIFERICO NORTE,Bugambilias,Colima,Colima,Colima,28017,19.8,-2.0,22.3,Febrero,19.2433991,-103.7280738
Devlyn,Sur,Distrito 4,A836,DEVLYN CHEDRAUI (TAPACHULA),4TA AV SUR PROLONG C LAS PALOMAS,Cantarranas,TAPACHULA DE CÓRDOVA Y ORDÓÑEZ,Chiapas,Tapachula de Córdova y Ordóñez,30797,-1.4,-4.6,3.3,Febrero,14.9042905,-92.2609265
Devlyn,Centro,Distrito 6,B008,LEON CENTRO II,05 DE MAYO,Centro,León,Guanajuato,León de los Aldama,37000,-27.9,-28.2,0.5,Febrero,21.121965,-101.6829766
Coppel,Centro,Distrito 5,A551,COPPEL CELAYA,12 DE OCTUBRE,Los Sauces,Celaya,Guanajuato,Celaya,38027,-42.8,87.5,-69.5,Febrero,20.533795125699353,-100.83526851726776
Sears,Noroeste,Distrito 3,B319,SEARS CENTRO (LA PAZ),16 DE SEPTIEMBRE,Zona Central,La Paz,Baja California Sur,La Paz,23000,171.0,90.0,42.6,Febrero,24.1619948,-110.3158532
Devlyn,Centro,Distrito 6,A823,LA PIEDAD CENTRO,25 DE JULIO,Centro,La Piedad,Michoacán de Ocampo,La Piedad de Cabadas,59300,14.1,-13.6,32.0,Febrero,20.3429949,-102.031124
Coppel,Sur,Distrito 3,A609,COPPEL CARDENAS CENTRO (TABASCO),ABRAHAM BANDALA,Cárdenas Centro,Cárdenas,Tabasco,Cárdenas,86500,-25.6,17.5,-36.6,Febrero,18.169369500000002,-93.70522924168885
Devlyn,Noreste,Distrito 2,A947,ADUANA I CENTRO (TAMPICO),ADUANA,Tampico Centro,Tampico,Tamaulipas,Tampico,89000,-13.5,-6.7,-7.2,Febrero,22.27010965,-97.89486735598555
Devlyn,Noreste,Distrito 5,A957,SALTILLO CENTRO,ALLENDE,Saltillo Centro,Saltillo,Coahuila de Zaragoza,Saltillo,25000,-6.4,-7.2,0.9,Febrero,25.4230425,-100.9927509
